Year,Season,Month,Day,Day_Num,Volume,Close,C1,C2,G,NX(yi mei yuan),ISM,GDP Season,new_cases,new_deaths,GDP_per_day
2019,3,7,2019/7/3,43649,149840000,26966,34.47502784,-10.09411561,1429.281,-527.1,51.7,1.91E+13,0,0,3.01E+11
2019,3,7,2019/7/5,43651,192170000,26922.11914,33.30066231,-9.764270889,1429.281,-527.1,51.7,1.91E+13,0,0,3.10E+11
2019,3,7,2019/7/8,43654,214290000,26806.14063,34.10397379,-9.349903684,1429.281,-527.1,51.7,1.91E+13,0,0,3.06E+11
2019,3,7,2019/7/9,43655,218330000,26783.49023,33.1715411,-8.883518606,1429.281,-527.1,51.7,1.91E+13,0,0,3.04E+11
2019,3,7,2019/7/10,43656,207990000,26860.19922,34.89000741,-10.08915576,1429.281,-527.1,51.7,1.91E+13,0,0,3.00E+11
2019,3,7,2019/7/11,43657,252300000,27088.08008,35.88560894,-9.91348759,1429.281,-527.1,51.7,1.91E+13,0,0,3.07E+11
2019,3,7,2019/7/12,43658,248390000,27332.0293,36.24184995,-9.300023738,1429.281,-527.1,51.7,1.91E+13,0,0,3.11E+11
2019,3,7,2019/7/15,43661,199730000,27359.16016,37.15411951,-9.599051041,1429.281,-527.1,51.7,1.91E+13,0,0,2.99E+11
2019,3,7,2019/7/16,43662,226000000,27335.63086,37.08565085,-9.473107796,1429.281,-527.1,51.7,1.91E+13,0,0,2.97E+11
2019,3,7,2019/7/17,43663,193930000,27219.84961,36.56930796,-9.057116297,1429.281,-527.1,51.7,1.91E+13,0,0,2.97E+11
2019,3,7,2019/7/18,43664,216070000,27222.9707,36.39573028,-9.056461125,1429.281,-527.1,51.7,1.91E+13,0,0,3.06E+11
2019,3,7,2019/7/19,43665,287690000,27154.19922,34.32098987,-7.812773415,1429.281,-527.1,51.7,1.91E+13,0,0,2.99E+11
2019,3,7,2019/7/22,43668,216310000,27171.90039,33.81078551,-8.05332219,1429.281,-527.1,51.7,1.91E+13,0,0,3.13E+11
